stop_id,stop_name,stop_lat,stop_lon
S8895091,Erembodegem,50.919618,4.055451
S8895125,Alost Kerrebroek,50.948379,4.024412
S8895208,Zottegem,50.8691,3.81441
S8895232,Munkzwalm,50.875675,3.733242
S8895240,Balegem-Zuid,50.900514,3.80587
S8895257,Balegem-Dorp,50.919608,3.791423
S8895422,Hillegem,50.8913,3.85747
S8895430,Herzele,50.897222,3.880616
S8895448,Terhagen,50.901645,3.896657
S8895455,Burst,50.907194,3.922418
S8895463,Bambrugge,50.913768,3.935715
S8895471,Erpe-Mere,50.9286,3.96246
S8895489,Vijfhuizen,50.94325,3.98125
S8895505,Grammont,50.771135,3.872326
S8895570,Lierde,50.816239,3.826561
S8895612,Viane-Moerbeke,50.751978,3.91734
S8895620,Gammerages,50.743917,3.965726
S8895638,Tollembeek,50.735519,3.992826
S8895646,Herne,50.723705,4.014578
S8895711,Schendelbeke,50.797849,3.899285
S8895729,Idegem,50.801876,3.921556
S8895737,Zandbergen,50.806986,3.957652
S8895745,Appelterre,50.813067,3.972107
S8895752,Eichem,50.823992,3.993748
S8895760,Ninove,50.839511,4.026137
S8895778,Okegem,50.857715,4.054554
S8895802,Denderleeuw,50.89193,4.07183
S8895836,Liedekerke,50.88253,4.09529
S8895844,Iddergem,50.876886,4.068488
S8895851,Welle,50.903276,4.050617
S8895869,Haaltert,50.906836,4.023957
S8895877,Ede,50.911053,3.987525
S8896008,Courtrai,50.824504,3.264548
S8896115,Harelbeke,50.855865,3.314007
S8896149,Waregem,50.89246,3.42551
S8896230,Vichte,50.833662,3.391627
S8896305,Menin,50.79949,3.11379
S8896370,Wevelgem,50.811522,3.183519
S8896388,Bissegem,50.825848,3.224208
S8896396,Wervik,50.78186,3.04698
S8896412,Comines,50.772071,2.999286
S8896503,Ypres,50.8474,2.87659
S8896735,Poperinge,50.85445,2.736345
S8896800,Roulers,50.949029,3.130415
S8896909,Izegem,50.921149,3.212089
S8896925,Ingelmunster,50.914331,3.255416
8014008,Mannheim Hbf (DE),49.479481,8.468935
8015190,Herzogenrath,50.8709,6.0944
8015199,Aix-la-Chapelle Ouest,50.78078,6.07055
8015321,KOLN-EHRENFELD,50.951538,6.914889
8015345,Aachen Hbf (DE),50.76776,6.09139
8015458,Kèln Hbf (DE),50.94308,6.95897
8015485,Bonn Hbf,50.731972,7.097204
8015577,Bonn-Beuel (DE),50.7385,7.1276
8019023,Koblenz Hbf (DE),50.350843,7.588441
8019051,Mainz Hbf (DE),50.0013,8.2585
8020174,ROSENHEIM (D),47.84908,1.2120817
8020234,MǬnchen Ost (DE),48.128172,1.1603624
8101003,Wien Hbf,48.184586,1.637901
8101032,St.Poelten Hbf,48.20815,1.5624571
8101073,Linz Hbf (AT),48.29053,1.429119
8101114,Salzburg Hbf (AT),47.813239,1.3046003
8103107,Wien Meidling (AT),48.174842,1.6336225
8200100,Luxembourg (LU),49.6,6.133333
8200102,Pfaffenthal-Kirchberg (LU),49.619126,6.132853
8200110,Mersch (LU),49.748889,6.106111
8200120,Ettelbruck (LU),49.8475,6.104167
8200128,Michelau (LU),49.89729,6.09149
8200129,GoebelsmǬhle,49.92197,6.0513
8200130,Kautenbach (LU),49.952778,6.02
8200132,Wilwerwiltz (LU),49.988889,5.999167
8200133,Drauffelt (LU),50.017778,6.006111
8200134,Clervaux (LU),50.054722,6.031389
8200136,Troisvierges (LU),50.121111,6.000278
8200510,Bertrange Strassen (LU),49.611111,6.05
8200516,Mamer (LU),49.62587,6.020131
8200518,Capellen (LU),49.645,5.990833
8200520,Kleinbettingen (LU),49.646389,5.916389
8200710,Hollerich (LU),49.59516,6.120938
8200712,Leudelange (LU),49.587123,6.059306
8200714,Dippach-Reckange (LU),49.572562,5.995267
8200716,Schouweiler (LU),49.573644,5.960076
8200718,Bascharage-Sanem (LU),49.558366,5.923742
8200930,Pétange (LU),49.554252,5.878681
8200935,Lamadeleine (LU),49.553337,5.861335
8200940,Rodange (LU),49.551285,5.845025
8210014,Mamer-Lycée (LU),49.619405,6.028495
8400131,Breda (NL),51.595675,4.780017
8400219,Eijsden (NL),50.772132,5.70979
8400234,Eygelshoven markt,50.896069,6.057451
8400307,Heerlen,50.890946,5.974577
8400424,Maastricht (NL),50.85,5.705392
8400426,Maastricht Randwijck (NL),50.837793,5.717626
8400434,Meerssen,50.882599,5.750631
8400526,Roosendaal (NL),51.540834,4.458692
8400530,Rotterdam CS (NL),51.924845,4.469313
8400548,Landgraaf,50.896515,6.019776
8400632,Valkenburg,50.869278,5.832888
8701687,Creil - Bǽt Voyageurs,49.264337,2.469339
8727100,Paris Nord (FR),48.880108,2.354577
8728105,Croix l'Allumette (FR),50.686675,3.150797
8728600,Lille Flandres (FR),50.633333,3.066667
8728606,Hellemmes (FR),50.62694,3.108888
8728654,Tourcoing (FR),50.716558,3.168127
8728671,Croix Wasquehal (FR),50.666667,3.15
8728673,Roubaix (FR),50.695609,3.163526
8728683,Pont de Bois (FR),50.624166,3.1275
8728685,Annappes (FR),50.633333,3.15
8728686,Ascq (FR),50.616667,3.166667
8728687,Baisieux (FR),50.6,3.25
8728710,Lezennes (FR),50.616667,3.116667
8729500,Maubeuge (FR),50.272893,3.966566
8729560,AULNOYE AYMERIES (F),50.197438,3.843413
8729600,Saint-Quentin,49.839698,3.297595
